Date,Source,Description,Category,Subcategory,Amount,Original Category
05/03/2025,Alex Checking,CITY WATER,Housing,Utilities,71.91,
05/03/2025,Sam ChaseCard,OLD NAVY,Kids,Clothing,98.37,
05/04/2025,Alex ChaseCard,LOCAL NEWSPAPER,Subscriptions,News,15.0,
05/04/2025,Alex Checking,ICLOUD STORAGE,Subscriptions,Software,3.0,
05/05/2025,Alex AppleCard,AMAZON,Shopping,Home Goods,67.99,
05/05/2025,Alex Checking,TRADER JOE'S,Food,Groceries,85.31,
05/06/2025,Alex AppleCard,ELECTRIC COMPANY,Housing,Utilities,156.43,
05/06/2025,Alex ChaseCard,INTERNET,Housing,Utilities,74.22,
05/07/2025,Alex ChaseCard,STARBUCKS,Food,Restaurants,7.04,
05/07/2025,Alex Checking,NETFLIX,Subscriptions,Streaming,18.0,
